source,date,new_cases,deaths,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99
https://coronavirus.bg/bg/news/2893,17-11-2021,3869,121,0,0,0,0,0,0,0,0,4,3,10,3,13,10,21,23,18,15,1,0
https://coronavirus.bg/bg/news/2883,16-11-2021,3223,276,0,0,0,0,0,0,2,4,7,7,6,18,25,42,59,44,34,24,3,1
https://coronavirus.bg/bg/news/2879,15-11-2021,828,88,0,0,0,0,0,0,0,2,2,0,5,7,11,12,14,14,11,6,4,0
https://coronavirus.bg/bg/news/2877,14-11-2021,3146,66,0,0,0,0,0,0,0,0,3,2,3,1,5,5,15,12,12,6,2,0
https://coronavirus.bg/bg/news/2874,13-11-2021,3146,176,0,0,0,0,0,0,0,1,4,2,4,10,20,26,38,25,27,14,5,0
https://coronavirus.bg/bg/news/2864,12-11-2021,3207,197,0,0,0,0,0,0,1,2,4,7,8,11,14,15,45,37,31,17,4,1
https://coronavirus.bg/bg/news/2854,11-11-2021,3853,199,0,0,0,0,0,1,0,2,1,2,9,11,16,16,44,39,28,23,7,0
https://coronavirus.bg/bg/news/2846,10-11-2021,4955,147,0,0,1,0,0,1,1,1,6,6,2,9,10,18,35,28,14,15,0,0
https://coronavirus.bg/bg/news/2839,09-11-2021,5286,332,0,0,0,0,1,1,1,5,2,11,20,10,27,48,74,59,46,20,7,0
https://coronavirus.bg/bg/news/2832,08-11-2021,1256,67,0,0,0,0,0,0,1,0,1,1,2,2,4,13,14,18,6,3,2,0
https://coronavirus.bg/bg/news/2827,07-11-2021,2826,65,0,0,0,0,0,0,0,0,0,2,3,9,7,12,6,13,9,2,2,0
https://coronavirus.bg/bg/news/2821,06-11-2021,4734,185,0,0,0,0,1,2,0,1,3,3,5,5,7,33,41,44,22,14,4,0
https://coronavirus.bg/bg/news/2815,05-11-2021,4662,166,0,0,0,0,0,1,1,1,0,2,6,7,14,25,31,30,23,20,4,1
https://coronavirus.bg/bg/news/2805,04-11-2021,4922,135,0,0,0,0,0,0,0,2,4,3,9,13,14,12,19,20,19,16,4,0
https://coronavirus.bg/bg/news/2800,03-11-2021,5863,145,0,0,0,0,0,0,0,0,0,4,6,9,14,28,20,28,21,12,3,0
https://coronavirus.bg/bg/news/2782,31-10-2021,2836,46,0,0,0,0,0,0,0,0,1,0,2,1,3,14,10,7,6,2,0,0
